high_income,male,married,higher_edu,managerial_occ,high_hours,gov_jobs,race,age,native_country
0,1,6,9,7,40,8,4,48,39
0,0,1,9,1,35,8,4,23,39
0,1,6,13,12,40,6,4,39,39
0,1,6,10,7,46,8,4,47,39
1,1,6,14,10,40,4,4,62,39
0,1,2,11,4,50,4,4,36,39
0,0,6,13,1,40,8,4,31,39
0,1,1,10,1,40,8,4,22,39
0,1,1,10,3,40,8,4,34,39
0,0,1,13,12,50,3,3,36,39
1,1,6,13,10,40,4,4,37,39
0,1,1,9,6,40,8,4,22,39
1,0,2,16,10,45,4,4,51,39
0,1,6,9,4,65,4,4,46,39
0,1,3,10,1,20,7,4,65,31
1,1,6,9,4,40,8,4,54,39
0,0,2,14,10,45,3,4,40,39
1,0,6,15,10,50,8,2,32,39
1,1,6,9,4,45,8,3,39,39
0,0,1,12,12,60,8,4,28,39
0,0,2,10,1,10,8,4,30,39
0,1,1,9,3,40,8,4,56,39
0,0,1,9,1,38,8,4,22,39
1,0,6,10,4,48,8,4,34,39
0,0,1,10,11,40,5,3,32,39
0,1,6,12,4,55,8,4,27,39
0,1,1,9,8,40,8,4,23,8
0,1,6,13,10,40,8,4,43,39
0,0,1,9,1,35,8,4,26,39
0,1,6,13,12,40,8,4,35,39
1,1,6,15,10,50,6,2,57,19
0,1,6,11,6,40,8,4,23,39
1,0,1,9,12,15,8,4,23,39
1,1,6,10,12,50,8,4,29,39
1,1,6,13,12,40,8,4,29,39
0,1,6,13,8,25,8,4,60,39
0,1,6,10,3,40,8,4,60,4
1,1,6,13,12,40,3,4,47,39
0,0,1,10,7,40,8,4,20,39
0,1,1,9,3,40,8,4,19,39
1,0,6,14,10,36,4,3,40,39
1,1,6,10,13,45,8,4,46,39
0,1,6,9,3,40,8,4,40,39
0,1,6,3,3,50,8,4,55,39
0,1,1,9,3,40,8,4,21,39
0,0,4,9,12,40,8,4,42,39
0,0,3,6,14,35,8,3,55,39
1,1,6,16,10,50,8,4,48,39
1,1,6,14,4,50,8,4,52,12
0,0,1,10,13,16,8,4,24,39
0,1,2,9,10,40,8,4,34,26
0,0,1,14,10,25,4,4,35,39
0,1,6,10,3,40,8,3,43,39
1,1,6,12,10,40,8,4,47,39
0,1,6,6,4,40,8,4,63,39
0,1,2,13,12,50,8,4,45,39
0,1,6,9,3,60,8,4,41,39
0,1,1,7,6,20,8,1,17,39
0,0,1,13,10,50,4,3,33,39
1,1,2,13,4,50,8,4,35,39
1,1,6,9,4,40,8,4,55,39
0,1,1,9,3,35,8,4,27,21
0,1,6,10,3,40,8,4,35,39
0,1,6,3,8,32,8,4,80,39
0,0,1,4,8,14,8,3,33,38
1,1,6,6,3,40,8,4,50,39
0,1,2,10,13,55,8,4,29,39
0,0,1,6,8,20,8,1,17,39
0,0,1,9,7,40,8,3,24,39
